article_type,count
Tshirts,479
Kurtas,323
Tops,320
Shirts,305
Dresses,165
Jeans,154
Shorts,135
Trousers,129
Handbags,106
Leggings,102
Watches,102
Sweaters,99
Casual Shoes,97
Sweatshirts,96
Heels,93
Jackets,91
Skirts,87
Sports Shoes,84
Kurta Sets,75
Wallets,65
Sunglasses,65
Belts,60
Flip Flops,58
Flats,56
Sandals,53
Perfume and Body Mist,53
Earrings,53
Sarees,53
Laptop Bag,49
Backpacks,47
Nail Polish,47
Socks,47
Lipstick,46
Clutches,44
Formal Shoes,44
Kurtis,40
Tunics,39
Deodorant,38
Track Pants,35
Pendant,34
Capris,34
Necklace and Chains,32
Lip Gloss,31
Caps,31
Dupatta,28
Ties,28
Ring,27
Kajal and Eyeliner,27
Scarves,25
Stoles,25
Bangle,23
Foundation and Primer,23
Face Moisturisers,21
Jewellery Set,20
Highlighter and Blush,19
Compact,18
Lip Liner,18
Rain Jacket,18
Cufflinks,17
Mobile Pouch,17
Accessory Gift Set,17
Sports Sandals,17
Patiala,16
Fragrance Gift Set,16
Duffel Bag,16
Eyeshadow,16
Jeggings,15
Waistcoat,15
Salwar,14
Churidar,13
Face Wash and Cleanser,13
Sunscreen,12
Messenger Bag,11
Mufflers,11
Suspenders,11
Hair Colour,11
Jumpsuit,10
Gloves,10
Lip Care,10
Tracksuits,9
Rompers,9
Mascara,9
Mask and Peel,9
Shoe Accessories,8
Concealer,8
Travel Accessory,8
Blazers,8
Tights,7
Salwar and Dupatta,7
Clothing Set,7
Waist Pouch,7
Water Bottle,6
Rucksacks,6
Umbrellas,6
Body Lotion,6
Nail Essentials,6
Eye Cream,6
Shrug,6
Face Scrub and Exfoliator,5
Toner,5
Nehru Jackets,5
Beauty Accessory,4
Headband,4
Lehenga Choli,4
Makeup Remover,4
Lip Plumper,4
Wristbands,3
Hat,3
Trolley Bag,3
Rain Trousers,2
Face Serum and Gel,2
Key chain,2
Ties and Cufflinks,2
Tablet Sleeve,2
Shoe Laces,1
Body Wash and Scrub,1
Mens Grooming Kit,1
Hair Accessory,1
